word,translation
īnu,eye
īnum,eye
īnum (//igi),eye
īnum (IGI),eye
inum I,when
"inūma, enūma",when
"inūma, enūma (UD)","when, at the time of"
inūmīšuma,"at that time, at his days"
inūšu,then
Ipḫur-Kiši,PN
Ipiq-Aya (SIG.dA.A)),PN
ippīrum,"struggle, trouble"
ipqum,"embrace, protection"
iprum,"ration, subsistence allowance"
ipšum,"deed, action"
iptum,luxuriance
iqqāt (cf. qātum),"by agency of, through"
Ir-Enlilla,PN
irimmum,"charm, love charm"
irīmum,jewellery
Irisagrig,GN
Irkal,netherworld
Irnina (dIR.NI.NA),DN
Irnina (ÍD.IR.NI.NA),River Name
irtu,breast
irtum,"breast, chest"
irtum I (GABA),"breast, chest"
irtum II,kind of song
Irʾanu,FN
išartum,"righteousness, prosperity"
išarum,"straight, correct, fair"
išarum I,"straight, correct, normal"
išarum II (GÌŠ),penis
išātiš,"on fire, ablaze"
išātu,fire
išātum,fire
išdaḫum (išdiḫum),"profitable business, profit"
išdum,"foundation, base"
išdum (//suḫuš),"foundation, base"
išdum (SUḪUŠ),"foundation, base; root"
Išḫara,DN
išḫilṣum,shred (pot)
iṣi pišrim,plant ('magic staff')
Išin,GN
isinnum,festival
isinnum (//zé),"festival, feast"
išīnum,"stalk, stem"
išippu,a purification priest
išippum,a purification priest
iširtum,shrine
iškārum (ÉŠ.GÀR),text series
iškūrum,wax
Išne-karāb,DN
išparum,weaver
išpatum,quiver
"išqillatu, išqiltu",(a type of) shell
isqum,"lot, share, prebend"
isqum (//giš-šub),"lot, share"
iššiakkum (ÉNSI),"territorial ruler, governour"
iššum,"woman, wife"
iṣṣūr ḫūrim (cf. iṣṣūrum),rock partridge
iṣṣūr ḫurri,rock partridge
iṣṣūriš,like a bird
iṣṣūru,bird
iṣṣūrum,bird
ištānum,north
"ištānum, iltānum",north wind
Ištar,"DN, SN"
Ištar (dEŠ4.TÁR) (//d-inanna),DN
ištar bītim,goddess of the house
Ištar-Bābili,DN
Ištar-bīti,DN
ištaru,goddess
ištarum,goddess
ištarūta,(a musical term)
ištēn,one
ištēn (//diš),one
ištēn (DIŠ),"one, single, the first one, first"
ištēniš,"together, as one"
ištēnšerûm,eleventh
ištēnûm,"single, once"
išti,with
ištiššu,once
ištītam,"suddenly, at once"
"ištu, ultu","from, out of, since, after"
"ištuḫḫum, ištaḫḫum","whip, lash"
ištum (//-ta),from
"ištum, ultu","from, out of, since, after"
Ištumegu,RN
iṣu,"tree, wood"
išû (v.),to have
Išum,DN
īṣum,"too small, little, few"
iṣum (GIŠ),"tree, wood"
išûm (v.),to have
išûm (v.) (//tuku),G to have
itbārum,"friend, colleague"
itbārūtum,partnership
itinnu,"builder, mason"
itpēšum,"wise, expert"
itqum,"fleece, fringe"
itti,with
Itti-Marduk-balāṭu,PN
ittû,seed-funnel
iṭṭûm,crude bitumen
ittum,"sign, portent"
"itūlum, utūlum (v.)","Gt to lie down, sleep, be lying"
Itūr-Mēr,DN
izbum,"misbirth, fetal anomaly"
izḫum,"belt, string (of fish)"
izuzzu (v.),to stand
izuzzum (v.),to stand
izuzzum (v.) (GUB),"G to stand; Gtn iter. of G; Š cause to be present, appoint"
ka(s)sūsu,(hunting) falcon
Ka-Lamma-rabi,Ka-Lamma-rabi
Ka-Udebabbar,TN
Ka-Utuea,TN
KA.INIM.MA,"incantation formula, incantation"
kab(b)artum,part of foot
kabārum (v.),"to become thick, solid"
kabāsu (v.),"to tread, trample"
kabāsum (v.),to tread
kabattum (//ur),liver
kabattum (//ur5),"liver, mood, mind"
"kabattum, kabtatum","liver, innards, mood, temper, spirit, dignity"
kabātum (v.),"G to be(come) heavy, D make heavy, aggravate, treat honorably"
kābisum,who tramples
kabru,"thick, solid"
kabrum,"thick, solid"
kabtum,"heavy, important, extensive, honorable"
kabtum (//alim),"heavy, substantial, honoured, distinguished"
"kabūtu, kabū",(animal) dung
kabūtum,dung (of animal)
Kadašman-Ḫarbe,RN
kadrûm,"present, greeting gift"
"kadrûm, kedrûm, katrû","present, greeting gift"
Kaḫegal,TN
kakkab šamê,star of heaven
kakkabtum,star ornament (of gold)
kakkabum,star
kakkabum (//mu-lí),star
kakkabum (MUL),"star, meteor"
kakkullum (//gàkkul),mash-tub
kakkum,"stick, weapon"
kakkum (//giš.tukul),"stick, weapon, battle"
kakkum (//šita),"stick, weapon, battle"
kakkum (GIŠ.TUKUL),"stick, weapon, battle"
Kakšebi-x,GN
kalab urṣim,"dog of the earth(?), badger"
kalakkum,"excavation, trench"
kalāma,all (of it)
kalāma (//é-gi4-a),all (of it)
kalbatum,"female dog, bitch"
kalbu,dog
kalbum,dog
kalbum (UR.GI7),dog
kalîš,totally
kalītum,kalītum
Kalkal,DN
kallātum,"daughter-in-law, bride"
kallūtum,status of a daughter-in-law
kalû,"all, totality"
"kalû, kullu","all, totality"
kalûm,lamentation-priest
kalûm (v.),to hold (back)
kalûm II (DÙ.A.BI),"all, totality, everything"
kalûm III (UŠ.KU),lamentation-priest
kalûm IV,"yellow mineral paste, phps. orpiment"
kalûm V (v.),"G to hold (back), detain"
kalummûm,everything
kalumtum,ewe; female lamb
kalūmum,lamb
kalûtum,"lamentation-priesthood, craft of lamentation-priest"
Kamaḫ,TN
kamālum (v.),to be(come) angry
kamāmum (v.),to grind one's teeth
kamārum,defeat
"kamāsu, kamāṣu (v.)","to kneel, squat down"
kamāsum (v.),"to gather in, deposit, store"
kamāsum I (v.),to gather in
kamāsum II (v.),"G to kneel, squat down"
"kamāsum, kamāṣum (v.)","to kneel, squat down"
Kambuziya,RN
kamîš,in a bound state
kamītum (pl. kamâtum),outside
kamkammatum,ring
kamliš,furiously
kammālum,adversary
kammum,"board, plaque"
"kamsum, kemṣum","squatting, crouching"
kamû (v.),to bind
kamûm,"bound, defeated"
kamûm (v.),"to bind, take prisoners"
kamūnu,a fungus
kanaktum,tree (incense-bearing)
kanākum (v.),to seal
kanāšum (v.),"to bow down, submit"
kanāzum (v.),to store away
Kānik-bābi,FN
kanīku,"sealed document, (clay) sealing"
Kaniš,GN
Kanisurra,DN
kankannum,(wooden) pot stand
"kankannum, gangannum",(wooden) pot stand
"kanku, kangu",sealed
kannikum,"sealer, seal bearer"
kannu,(vessel-)stand
kannum I,"vessel-stand, large vessel (kind of), pot stand; jar"
kannum II,"band, binding"
kânu (v.),"to be(come) permanent, firm, true"
kanûm (v.),"D treat kindly, to care, praise, honor"
kânum (v.),"to be(come) permanent, firm, true, (D) establish firmly, set up, define, prove"
kanzūzum,"gums, chin"
kapādu (v.),"to plan, scheme"
kapādum (v.),"to plan, scheme"
kapālum (v.),"to roll, to wrap"
kaparrum,"spadix of palm tree, palm leaf"
kaparrum (//ka-pár-ri),"shepherd of low rank, shepherd boy"
kapāru (v.),to smear
kapārum (v.),to wipe clean
kapārum II (v.),"G to wipe (clean) tears, hands etc."
kapāšum (v.),to be abundant
kapātum (v.),"D bring together, collect, roll into ball"
kapilu,a leather strap
kappu,wing
kappum,"hand, palm of hand"
Kār-Bēl-mātāti,GN
Kār-Tukultī-Ninurta,GN
karābu (v.),"to pray, bless, greet"
karābum (v.),"to pray, bless"
Karaindaš,RN
karākum (v.),"to roll up, collect, wrap"
karānatu,little wine
karānum,"vine, wine"
karānum (GEŠTIN),"vine, wine"
karāšum,military camp
karašum (//ga-raš-sar),leek
karāṣum (v.),"G to break off, pinch off"
karāšum II,catastrophe
karāṭum (v.),to show mercy
"Karduniaš, Karanduniaš",GN
karê māšim,type of grain heap
kāribum,"one who blesses, protective genie"
Karkara,GN
Karkara (URU.IM.KI),GN
"karkum, kaškum","rolled, gathered"
karmum,"ruin, badlands"
karpatum (DUG),clay pot
karriṣum,slanderer
karrum II,mourning garment
karṣu,slander
karṣum,slander
karsûm,"song, kind of"
karṣum (cf. ākil karṣim),slander
kartappum (//giri17-dab),"hostler, (animal) driver"
kāru,"quay, port"
karû (v.),"to be(come) short, be cut off"
kārum,"quay, port"
karûm (GUR7) I,"grain-heap, grain-store"
kârum (v.),to be dazed
karûm (v.) II,to be(come) short
kārum I (//kar),"quay, port"
kārum I (KAR),"quay, port"
kas(s)ūsum,(hunting) falcon
kašādu (v.),"to reach, arrive"
kašādum (v.),"to reach, arrive, accomplish, conquer"
kašāpum (v.),"G to cast spells, bewitch"
kasārum (v.),"to block, pave"
kašārum (v.),"to restore, have success"
kasāsum (v.),"to chew, gnaw"
kaṣâtum,early morning
kašāṭum (v.),to cut off
kašdatum,a priestess
"kâši, kâšu",to you
kāšidum,conquering
Kasikilla,TN
kâšim,to you
"kâšim, kâšum","you, to you, of you (sg.)"
kaspu,silver
kaspum,silver
kaspum (KÙ.BABBAR),"silver, money; price"
kaššaptum,"sorceress, witch"
kaššaptum (//uš7),"sorceress, witch"
kaššaptum (//uš7-zu),"sorceress, witch"
Kaššûm,Kassite
kassūsum,a falcon
kāsu,"cup, bowl"
kasû (v.),to bind
kasû I,bound
kasûm,"a spice plant, perhaps mustard"
kasûm (v.),to bind
kasûm III (v.),"G to bind; G~D bind person, animal, limb"
kašūšum,"annihilation, crushing defeat"
katāmum (v.),to cover
katāmum (v.) (//kéš),"G to cover, close"
katarrum,fungus (a kind of)
katāšum (v.),to pound
katātum (v.),"G to quiver, vibrate; Št be disturbed"
kâti,you
katmum,"covered, concealed"
kattûm,"corroborator, an officer"
"kāwinu, kāminu",burner
"kawû, kamû (v.)",to burn
kawûm,outer
kayyamānum,"permanent, regular, Saturn"
kayyānum,"regular, normal, constantly, regularly"
kazābum (v.),"G to be attractive, alluring; D flatter, fawn"
Kazallu,GN
kazbum,"charming, alluring"
kē,how
keppûm,skipping rope
kerrētum (see gerrum),"song, type of (marching song?)"
"kerrum, karrum",(area of) collarbone
"kerṣum, kirṣum","pinched-off piece, lump"
Keš,GN
kezretum,type of cultic prostitute
kī,"like, how, when, if, that, as"
kīam,"so, thus"
"kīam, kâm","so, thus"
kiāšum (v.),to help
kibbum,flame
kibrītum (KI.A.ÍD),sulphur
kibrum,"bank, shore, rim, edge of the world"
kibrum (UB),"bank (of a river), shore, rim, brink; quarter of the world"
kibsu,"track, footprint"
kibsum,a garment
kibtu,wheat
kibtum,wheat
kīdānum,outside
Kidin-Ḫutrudiš,RN
kidinnum,"protection, aegis, freedom from corvée"
"kidinnûm, kitinnûm","a fabric, textile"
kīdītum,exterior part
kīdûm,exterior
kīdum,outside
kigallum,"socle, pedestal, foundation of the earth, underworld"
kīkī,how
"kīkī, kīkīya",how
kikiṭṭûm (KÌD.KÌD.BI; KI.KI.BI),ritual procedure
kikkišum,"reed fence, wall"
kikkiṭṭûm,ritual
kilallān,both
Kilar,GN
Kilili,DN
kilīlu,wreath
kilīlum,wreath
kīlum I,"enclosure, confinement"
kīma,"like, when, as, that"
kīma (//-gi),"like, as; when; that"
kīma (//gin7),"like, as; when; that"
kīma inanna,right now
kimdum,cloth (a kind of)
kimiltum,"wrath, anger"
"kimṣu, kiṣṣu","shin, lower leg"
kimṣum,"shin, lower leg"
"kimṣum, kinṣum","shin, lower leg"
kimtu,family
kimtum,family
KIN.KU6,fish (a kind of)
kīnanna,"so, thus"
kinattum,"employee, menial; peer"
"kinattum, kannātum","employee, staff, colleague"
kinayyātum,"a present, payment for offering"
kiništum,"priesthood, college of priests"
"kinītu, qinītu","concubine, betrayed wife"
kinsikkum,late afternoon
kīnum,"permanent, true, reliable, loyal"
kīnum (//zi-dè-eš),"permanent, true, reliable"
kinūnum,brazier
kipdum,plan(s)
kippatum,"circle, hoop, ring"
Kir-x,GN
"kirbānu, kurbannu","lump (of earth, clay)"
kirbānum,lump
kirbānum (//lag),lump
kirimaḫḫu,park
kirimmum,arm
kirissum,hair clasp
kirû,"(fruit) plantation, orchard"
kirûm,"(fruit) plantation, orchard"
kirûm (GIŠ.KIRI6),"orchard, plantation"
kīrum I,"oven, kiln"
Kīš,GN
kīs libbim,"heartache, heart constriction"
Kis(i)līmu,MN
kišādu,"neck, bank"
kišādum,"neck, bank"
kišādum (GÚ),"neck, bank"
kisallu,forecourt
kisallum,forecourt
kisallum,"forecourt (of a temple, a palace or a house)"
kisalmāḫum,main court
kīšamma,forgive me
kiškattûm,"kiln, craftsman"
kiškirrum,a wooden board
kišpu,"sorcery, evil spell"
kišpum,"sorcery, evil spell"
kišpum (//uš),"sorcery, evil spell"
kišpum (//uš7.zu),"sorcery, evil spell"
kišrinnum,balance
kiṣrum,"knot, concentration, accumulated wealth, treasury"
kiṣrum (//ka-kéš),"knot, concentration, group, lump"
kiššanum/kiššenum (GÚ.NÍG.HAR.RA),leguminous vegetable (a kind of)
kiššatu,"totality, world"
kiššatum,"totality, world, total control"
kiššatum (//kur-kur),"totality, world"
kiššatum (//šú),"totality, world"
kiššatum (KIŠ),"totality, world"
kiṣṣu,shrine
Kiššûm,Kishite
kiṣṣum,shrine
kiššūtum,"power, might"
kišubbûm,waste ground
kišukkum,grating
kīṣum,"coolness, cool (of day), evening"
kitmum,musical interval
kittum,"steadiness, reliability, truth"
kittum I,"steadiness, reliability, truth, justice, loyality"
kittum I (//níg-zi),"steadiness, reliability, truth, justice, loyality"
kittum I (//zi),"steadiness, reliability, truth, justice, loyality"
kittum II,part of a bowl
kitû,"linen, flax"
"kītum, kittum",a reed mat
"kiyā, kiā",how much
Kizalagga,TN
kizûm,"groom, herdsman"
kizûm (//kuš7),"groom, herdsman"
kizzānû,"desig. of star, perhaps goat(-star), goat-like"
kizzānûm,"desig. of star, perhaps goat(-star)"
"kizzu, kazzu",(young male) goat
"kizzum, gizzum",(young male) goat
ku-uk libbim,stomach (part of)
ku-úr-ri,?
"kubbû, kabû",sewn
kubšum,"head cloth, turban"
Kūbu,DN
kuburrûm,"thickness, fatness"
Kudimšum,GN
Kudur-Naḫḫunte,RN
kukkudrum,sheep’s stomach
kukkum,cake
kulbābum,ant
kulīlum,dragonfly
kullatum,"totality, all"
kullu (v.),to hold
kullulu,"veiled, covered"
kullulum II (v.),"D to veil, cover"
kullûm,"held back, withdrawn"
kullum (v.),"to hold, be in possession of"
kullum III (v.),"to hold, hold back, cover"
kullumum (v.),"to show, reveal, display"
kulmašītum,cultic prostitute
kulpašum,a divine weapon
kulūlum,crown
kūm,instead of
kûm,"your, yours, belonging to you"
"kūm, kū",instead of
"kūm, kūmu",instead of
kummum,"cella, shrine, innermost room"
kunāšum,emmer
Kunnat-amāssu,GN
kunnum,"fixed, firmly established, loyal"
kunnûm (//zi-dè -ág),"cared for, cherished"
kunšillum,"carder, carding-comb, a thorn"
kunšimātum (//kur-gam-ma-bi),PN
kunukku,seal
kunukkum,seal
kupatinnum,"globule, pill"
kuppû,eel
kuppum,"cistern, water-source"
kupru,"bitumen, pitch"
kuprum,"bitumen, pitch"
kupsum (DUḪ.ŠE.GIŠ.Ì),"husks, bran"
"kuptattinnum, kupattinnum","globule, pill"
kupû,reed thicket
"kurāru, gurāru","glowing ashes, a boil, carbuncle"
Kuraš,RN
kurdinnum,(an evil-smelling plant)
kurgarrû,a cultic performer
kurgarrûm,a cultic performer
Kurigalzu,RN
kurītu,"shin, tibia"
kurkûm,goose
kurkurratum,a vessel
"kurkuzannu, gulguzannu",piglet
kurkuzannum (//šah-zé-eḫ),piglet
kurkuzannum (//zé-eḫ-tur),piglet
Kurnugi,The Underworld
kurrum,"(measure of dry capacity:) gur, kor"
"kursimtum, kursiddum",kind of snake
kursinnum,ankle
kurṣûm,shackle
kūru,"kiln, furnace"
kūrum,"kiln, furnace"
kūrum I,"depression, torpor"
kurummatum,"food allocation, ration"
kurunnum,a kind of beer
kuruppum,basket
KUŠ,?
Kušammān,GN
kusarikkum,"bison, a star"
kušīrum,"success, profit"
kusītum,robe
kuššudu,chased (off)
kussûm,"chair, throne"
kussûm (//gišgu-za),"chair, stool, throne"
kussûm (gišGU.ZA),"chair, stool, throne"
Kusu,DN
Kusu (ku-ús-sa),DN
kūṣum,"coldness, winter"
kutallu,back
kutallum,"back, rear"
Kutḫa (uruGÚ.DU8.Aki),GN
kutīmu,"goldsmith, silversmith"
kutīmum,"goldsmith, silversmith"
kutlum,"rail, fence, wall"
kutpûm,black frit
kuttumum (//šú),covered over
Kūtû,GN
kutummum,covering
kuzbānītum,alluring
kuzbu,"attractiveness, (sex) appeal"
kuzbum,"attractiveness, (sex) appeal"
Kuzullum,PN
lā,not
lā gamāl,"merciless, pitiless"
la'ātum (v.),to swallow (up)
"la'mum, lāmum",glowing embers
la'šūtum,oppression
la'ûm,small child
Lā-gamal,DN
labākum (v.),to be(come) soft
labānum (v.),"to spread, stroke"
labānum (v.) (ki-ri šu ~ga-al),"G to spread, stroke; ""stroke"" (nose) = gesture of submission D~G"
labārum (v.),"to be(come) old, long-lasting"
labāšum (v.),"to clothe oneself, (N) put on a garment"
lābatum,lioness
labīriš,of old
labīrum,"old, former, original"
labīrūtum,old age
Labnan,GN
lābu,lion
lābum,lion
ladinnu,"an aromatic, perhaps ladanum resin"
"lagā'um, lagûm","scale, dirt, slag"
Lagaš (ídŠIR.BUR.LAki),"GN, Lagaš river"
Lagaš (ŠIR.BUR.LAki),GN
laḫābum (v.),"to rumble, growl; Š=G"
laḫantum,designation of women
laḫāšu (v.),to whisper
laḫmu,"hairy, a mythical being"
Laḫmum,DN
laḫmum,"guardians of sea, sky, earth, apsû; hairy, mythical beings"
laḫrum (U8),"sheep, ewe"
laḫsītum (f.?); laḫsiātum (pl.),whispering ones(?)
laḫsûm,whispering(?)
laḫtanum (//laḫtan),beer vat
"lakādum, lakātum (v.)",G to run
lalium,"kid, young goat"
lallāriš,like honey
lallartum,female mourner
lallāru,white honey
lallarum,mourner
lallārum,white honey
lalûm,"plenty, exuberance, wish, desire, emotion"
lam(a)ḫuššûm,a ceremonial garment
lāma,before
lamādum (v.),to learn
lamassatum (dLAMMA),"protective spirit, tutelary goddess"
lamassu,(female) tutelary deity
lamassum,(female) tutelary deity
Lamassum (dLAMMA),(female) tutelary deity
Lamaštum (dDÌM.ME),DN
lamdum,experienced
lammu,"a tree, sapling"
lamniš,in an evil manner
lānu,"form, stature"
lānum,"form, stature"
lāpādûm,merciless
lapān(i),in front of
lapānum (v.),to be(come) poor
lapātu (v.),"to touch, take hold of"
lapātum (v.),"to touch, take hold of, (Š) ruin, destroy, plunder"
lapnum,"poor, pauper"
laputtûm,lieutenant
laqātum (v.),"to gather up, glean"
Larsa (UD.UNUGki),GN
lasāmum (v.),G to run
lāsimu,"swift, runner, courier"
lāsimum,runner
lasmu,"speedy, running"
laššu,(there) is not
latākum (v.),to check
lâṭum (v.),"to confine, keep in check"
"lawû, lamû (v.)","to surround, besiege"
lawûm,"besieged, encircled"
"lawûm, lamû (v.)","G to surround, besiege, encircle, wrap up; Š encircle, walk around"
"lawûm, lamûm (v.)","to surround, besiege, encircle"
Laz,DN
lā’išum,gripping
lē'ûm,"powerful, competent"
lē'um (gišIG.ZU),board (of door)
le'ûm (v.),"to be able, powerful"
lē'ûtum,"competence, skill, power"
lē'ûtum (//nam-á-gal),"competence, skill, power"
lemēnum (v.),"G to be(come) bad; D do evil, treat badly"
lemēnum (v.) (//ḫul),G to be(come) bad
lemniš,badly
lemniš (//ḫu-lu),badly
lemnum,bad
lemnum (ḪUL),"evil, bad; evil person, enemy"
lêmum (v.),"to take food, eat something, to consume, eat and drink"
lemûm I (v.),"G to consume, eat and drink"
lemûm II (v.),to be unwilling
lemuttum,"evil, wickedness, disaster"
leqû (v.),to take
leqûm (v.),to take
lētu,"cheek, side"
letû (v.),to split
lētum,"cheek, side"
letûm (v.),to split
lēʾûm,"powerful, competent"
leʾûm (v.),"to be able, powerful"
li'atum,saliva
lī'um,bull
Liba,DN
libbātum,"rage, fury"
libbātum (//murgù),"rage, fury"
libbū,"in the same way as, just like"
libbu,"inner body, heart"
libbum,"inner body, heart"
libbum (ŠÀ),"heart, mind; inner body"
libbum (ŠÀ) (//šà),"heart, mind; inner body"
libittu,mudbrick
libittum,brick
libittum (SIG4),"brick, mudbrick"
libšum,clothing; garment
līdānu,"chick, young bird, child of a slave girl"
līdānum,"chick, young bird"
"liliātu, lilâtu",evening
līliātum,evening
"līliātum, līlâtum",evening
lilissum,kettledrum
Lilītum (//ḫul-gál),DN (a demon)
"liliu, lilû",storm demon
lilium,storm demon
lillidum,offspring
lillu,idiot
Lillum,DN
lillūtum,idiocy
līlu,"evening, night"
līlum,"evening, night"
līlum (//ù-sa),evening
līm,thousand
lipiššatu,female genitalia
lipištu,male genitalia
"lipiu, lipû","(animal) fat, tallow"
"liptum, lipittum",mole
līpu,"descendant, scion"
līpum,"offspring, descendant"
līpum (ŠÀ.BAL.BAL),"offspring, descendant"
"līpum, līp līpi, liblibbi",descendant
liqtu,"gathered material, selection"
liqtum,"gathered material, selection"
līqum (//[urgú]),palate
līqum (in: līq pîm),palate
lišānum,"tongue, language"
lišdum,cream
lišdum (//ga-ra),cream
Lisi,DN
lismum,footrace
līšum,dough
littum,stool
"littum I, liddatum",offspring
littum II,stool
līṭum,hostage
lītum I,"power, victory"
"lītum, littum II (//ab)",cow
"lītum, littum II (ÁB; GU4.ÁB)",cow
"līʾu, lû",bull
"līʾum, lûm","bull, lion"
lū,"let it be, or, verily"
lubāru,garment
lubārum,garment
lubšum,cloth
lubuštum,"clothing, garment"
lubūšum,garment
Lūdu,GN
Lugal-Anna,PN
Lugal-Marad,RN
Lugalbanda,DN; PN
Lugaldukuga,DN
Lugalzagesi,PN
luḫāmum,mud
Luḫme,GN
luḫummûm,"silt, mud"
Luḫuša,DN
Lulal,DN
lulīmum,"red deer, stag"
Lullu(b)um,GN
lullûm,primeval man
lullumtum,garment (for travel and battle)
Lulubûm,man from Lulubum
lûm,bull
lumāšum,constellation
lumnum,"evil, misery"
lumnum (ḪUL),"evil, misery"
lumun libbim,"sorrow, misery"
luqūtum,goods
"lurmû, lurimāʾu",pomegranate
lušānum,l.-instrument
"luṭṭu, luttu",a cup or bowl
luṭûm,a dagger
lu’’û,"sullied, dirty"
mā,what!
mâ'um (v.),to vomit (bile)
"ma(d)dattum, mandattum","payment, obligation"
madādum (v.),"to measure, to pay"
Madānu,DN
"Madānu, Mandānu",DN
mādidum,measuring official
mādiš,"greatly, very"
mādum,"many, numerous"
mâdum (v.),"to be(come) many, numerous"
magāgum (v.),"to spread, stick out, protrude"
magal,"very (much), greatly"
Magan,GN
magāru (v.),"to consent, agree"
magārum (v.),"to consent, agree, obey"
māgirum,"submissive, compliant"
magrītum,"spite(ful act), malice, abuse"
magrum (ŠE.GA),"friendly, favourable"
maḫāḫum (v.),"to soak, steep; dissolve in liquid"
maḫāru (v.),"to face, confront, receive"
maḫārum (v.),"to face, confront, oppose, receive"
maḫāṣum (v.),"to beat, weave, strike"
māḫāzum,"place of taking, shrine, cultic center"
māḫāzum (//ki-šu-peš),"shrine, cultic centre"
maḫḫūtum,"prophetess, female ecstatic"
maḫīru,"exchange rate, market price"
maḫīrum,"exchange rate, market price, market"
māḫirum (//gaba-ri),"opponent, antagonist, enemy"
māḫiṣu,"beater, striker"
māḫiṣum,"hitter, smiting"
maḫra,"in front, before, earlier"
maḫriš,in front of
maḫru,"front, presence, past (time)"
maḫrûm,"first, former, earlier"
maḫrûm (//igi),"first, former, earlier, previous, older"
maḫrum II,"front, presence"
"maḫrum, meḫrum","front, presence, past (time)"
maḫṣum,"beaten, smitten"
maḫtûtum,washing-place?
maḫûm (v.),to rave
makāku (v.),"to extend, spread (out), (D) extend"
mākaltum,wooden dish
mākālum,"meal, food"
mākālum (//ni-im-gu10),"meal, food"
mākālum (//níg-gu7-gu7),"meal, food"
makārum (v.),"to irrigate, water"
makkasum,"a knife, cut dates of good quality"
makkūrum,"property, possessions"
maksindû,a kind of wood
maksûm,"bandage (medical), fetter, shackles"
"makû, māku","want, lack, need"
makûm II,"want, lack, need"
makūru,(processional) boat
makūrum,(processional) boat
makūrum (gišMÁ.GUR ),processional boat
makūtu,"staff, pole, post"
mala,as much as
malā'um (v.),to tear out
malāḫu,sailor
malāḫum,sailor
mālaku,"walk, way, course"
mālakum,"walk, way, course"
malākum (v.),"to discuss, advise"
mālakum I,"walk, way, course"
malālum (v.),"to eat one's fill, consume, (Št) carry off from everywhere"
Malgûm (MÀ.AL.GU7.Aki),GN
mālikum,"adviser, counsellor"
malikūtum,"power, principality"
malītum,a lament
malkatum,"ruler (f.), queen"
malkum,"prince, king"
malkum I,"prince, king"
malkum II,advice
malkum III,shrewd
mallatum,"bowl, dish"
maltaktum,"test, check; sand-clock"
malû,full
malû (v.),"to be(come) full, fill up"
Malūkatum,DN
malûm,"full, completed"
malûm (v.),"to be(come) full, fill up"
malûm I,"full, complete, sated"
malûm II,"matted, dirty (body) hair"
malûm IV (v.),"G to become full, fill up; D fill (up); Št to provide"
malûm IV (v.) (//si),"G to become full, fill up; D fill (up)"
Mama,DN
Mami,DN
māmītum,"oath, curse"
"mamlum, meamlum","impetuous, fierce, hero"
mamman,"somebody, who(so)ever"
mammum,tiara
māmū,water
mānaḫtum,"weariness, fatigue, toil, work"
mānaḫum,earnings; hard labour
manāma,"somebody, who(so)ever"
manānum (//á-šu-girì),nerves(?)
manâtum (// i-gi4-te),accounting
mandittum,"a wooden object, wooden rack"
mannu,"who, who(so)ever"
"Mannu(m)-utār-issu, Mannu-utār",PN
Mannu-x,PN
mannum,who
manû (v.),"to count, calculate, recite"
manûm,mina
Manum,PN
manûm (v.),"to count, calculate, recite"
Manziat (dTIR.AN.NA),rainbow
maqātu (v.),to fall
maqātum (v.),to fall
maqātum (v.) (//šub),"G to fall, drop; Š caus. of G"
maqlûm,"burn(ing), combustion"
maqqītum,"libation, offering"
maqtum,fallen
mār awīlūtim,"person (""son of mankind"")"
mār banê,free man
mār bārîm,diviner
mār bīt ṭuppim (DUMU.É.DUB.BA.A),government scribe
mār eduppê,learner scribe
mār malāḫim,sailor
mār nāqidim,herdsman
mār šalāli,a kind of priest
mār šarrim,prince
mār šiprim,"delegate, envoy, messenger"
mār ummânim,craftsman
Mār-bīti,DN
Marad,GN
marārum (v.),G to become bitter; D make bitter
marāṣum (v.),"to be(come) ill, arduous, difficult"
marāṣum (v.) (//gi-ga-a-a),"G to be(come) ill, arduous, difficult; Š to cause trouble, to bring illness"
mārat Anim,daughter of An
mārāt Ea,daughters of Ea
mārāt Šassūrātim,daughters of the birth goddesses
Mārāt-Edubba,DN
Mārāt-Esagil,DN
Mārāt-Ezida,DN
Mardaman,GN
Marduk,DN
Marduk (//dAsar-lú-ḫi),DN
Marduk-aplu-iddina,RN
Marduk-ēṭir,PN
Marduk-kabit-aḫḫēšu,RN
Marduk-nādin-aḫḫē,RN
Marduk-šāpik-zēri,PN
Marduk-x,RN
margûm (//dìm-šáḫ),"bear (an animal, phps.)"
Marḫaši,GN
"Marḫaši, Parašû",GN
marḫītum,"mate, wife, spouse"
Mari (MÁ/MA.RI.KI),GN
markasu,"bond, tie, rope"
markasum,"bond, tie, rope"
marratum,"bitter thing, the sea, a bird"
marru,"shovel, spade"
marrum II,"shovel, spade"
marṣiš (//gi-ga),bitterly
maršum,leather strap
marṣum,"sick, troublesome"
marṣum (//gig),"sick, troublesome"
"maršum, laršum","leather strap, thong"
mārtu,daughter
martum,"gall bladder, bile, venom"
mārtum (//munus),"daughter, girl"
mārtum (DUMU.MUNUS),"daughter, girl"
martum pāšittum,"exterminating bile, obliterator, (said of Lamaštum)"
māru,"son, descendant, darling"
marûm,fattened
mārum (//dumu),"boy, son, descendant"
mārum (//nin?),"boy, son, descendant"
mārum (DUMU),"boy, son, descendant"
"maruṣtum, maruštum","evil, distress"
mārūtum,status of son
maš'u,"destitute, robbed"
mašā'um (v.),"to take away by force, rob"
mašādum (v.),"to beat, full (cloth, wool), strike (with disease)"
mašāḫum (v.),G to measure
