word,translation
Aššur-uballiṭ,RN
Aššurûm,Assyrian
aššūtu,"marriage, status of a wife"
aššūtum,"marriage, status of a wife, wifehood"
aštammum,tavern
aštapīrum,"slaves, servants, domestic staff"
asû,"a wooden part of the loom, part of the door"
ašūḫu,pine-tree
ašūḫum,pine-tree (kind of)
ašûm,disease affecting the head (a kind of)
asûm,physician
asurrû,"lower course, footing"
asurrûm,"lower course, footing (of wall)"
ašuštum,"affliction, grief"
"ašuštum, šuštum","affliction, grief"
atānum,she-ass
atḫû,"companions, partners, brothers"
atḫûtum,brotherhood
atkuppu,craftsman making objects of reeds
atkuppum,craftsman making objects of reed
atmartum,all seeing (title of a goddess)
Atra-ḫasīs,PN
attā,you (m.sg.)
"attā, attu","you (m. sg., also f. sg.)"
attadûm,gutter
attalûm (AN.MI),eclipse
attamannu,"each one, whoever you (m.) are"
attī,you (f. sg.)
attunu,you (m. pl.)
"atūdum, etūdum","wild sheep, ram"
atûm (Ì.DUḪ),"gatekeeper, porter"
"atûm, utûm","gatekeeper, porter"
"atwûm, atmûm","speech, word"
"awātu, amātu","word, matter"
awātum (//i-ni-im),"word, matter, legal case, lawsuit"
awātum (//inim),"word, matter, legal case, lawsuit"
"awātum, amātu (INIM)","word, matter, speech"
"awātum, amātum","word, matter"
awīltum,woman
"awīlu, amēlu",man
awīlum (//lú),"man, free man, human being"
awīlum (//lú-ulù),"man, free man, human being"
"awīlum, amēlum",man
"awīlum, aʾīlu, amēlu (LÚ; LÚ.ÙLU)","man, free man, human being"
awīlūtum (//lú),humanity
awīlūtum (//nam-lú-ulu3),humanity
"awīlūtum, amēlūtu","humanity, mankind"
"awīlūtum, amēlūtum","mankind, humanity, servants, slaves, personnel"
"awûm, amû (v.)","G to speak; Gt speak, discuss, negotiate"
"awûm, amûm (v.)",to speak
awurriqānum,jaundice
Aya,DN
ayyābum,enemy
ayyak(k)um,"sanctuary, shrine"
ayyalum,"stag, deer"
ayyānum,where?
ayyarum,"flower, rosette"
Ayyārum (ITI.GU4.SI.SÁ),2nd Bab. month
ayyišam,whither?
"ayyum, ayyûm",which
ayyumma,"any, anyone"
azamillum,sack
azāru (v.),to help
azmarûm,lance
bā'erum (ŠU.ḪA),"hunter, fisherman"
bā'erūtum,craft of fishermen
ba'ūlātum,"subjects, population"
bâ'um (v.),"G to go along, across, pass, overtake, defeat; Š cause to move along"
babālum (v.),"to carry, bring"
babālum (v.) cf. wabālum,"to carry, bring"
bābānu,"at the gate, outside"
bābānûm,outer
Babāyya,PN
Bābilāyu,Babylonian
Bābilayyum,Babylonian
Bābili,GN
Bābilum (KÁ.DINGIR.RAki),GN
bābiš (//ka),to the gate
bābtum,"city quarter, district"
bābu,gate
bābum,"gate, door"
bābum (//ka),"doorway, door, gate, entrance"
bābum (KÁ),"doorway, door, gate, entrance"
BAḪAR,DN
bakkā'um,"wailer, mourner"
bakkītum,"wailing woman, mourner"
bakûm (v.),to weep
bakûm (v.) (//ir),"G to weep, cry"
bakûm (v.) (//ir-re ~si-si),"G to weep, cry"
bakûm (v.) (//la-ra-aḫ),"G to weep, cry"
balālu (v.),"to mix up, alloy"
balālum (v.),"G to mix up; D coat, smear"
balāṭu (v.),to live
balāṭum,life
balāṭum (//nam-ti-il),life
balāṭum (//zi),life
balāṭum (TI),"life, vigour, good health"
balāṭum (v.),"to live, be(come) healthy"
ballukku,a tree
ballukkum,tree; an aromatic substance produced by the b. tree
Balteša,SN
balṭum,"living, alive"
"baluḫḫum, buluḫḫum (ŠIM.BULUḪ)",an aromatic plant
balum,without
balûm (v.),"to extinguish, to annihilate"
"balum, bala",without
bamātum,"open country, plain"
"bāmtu, bānda",half
bāmtum,half
bāmtum I,half
bāmtum II,"ribcage, chest, thorax"
banû,"good, beautiful"
bānûm,"creator, begetter"
banûm (v.),"to create, build"
"bānûm, f. bānîtum","creator, begetter"
bappirum (BAPPIR; ŠIM),beer bread
"baqāmu, baqānu (v.)",to pluck
"baqārum, paqārum (v.)","to (lay) claim to, contest"
barāmum (v.),to seal (up)
barāqum (v.),"to lighten, shine, flash"
"barbartum, barbarratum (?)",she-wolf
barbaru,wolf
barbarum,wolf
barbarum (UR.BAR.RA),wolf
bardûm,"crossbar, lintel"
barmātum,multicolored
barmum,"multicolored, variegated"
Barsip,GN
Barsipayyum,Borsippean
bārtum,"revolt, rebellion"
bārû,diviner
barû (v.),"to see, look at, read, check through"
bārûm,diviner
barûm,"seen, checked"
bārûm (//a-zu),inspector
bārûm (//igi nígin),inspector
bârum (v.),"to catch, trap"
barûm (v.),"to see, to look"
bašāmu (v.),"to create, form"
Bašār,"GN, mountain"
baṣārum (v.) (//ku5),G to tear off; D tear apart
bašmum,"snake, horned viper, horned viper (Cerastes cerastes), mythical poisonous snake"
"bāštu, bāltu","dignity, (source of) pride, genitals"
bāštum,"dignity, pride"
bāštum (//teš),"dignity, (source of) pride"
"bāštum, bāltum","dignity, (source of) pride"
bâšu (v.),"to be ashamed, come to shame"
bāṣum,sand
bašûm (v.),"to be (at hand), be available, exist"
bâšum (v.),"to be ashamed, come to shame"
"bāṣum, baṣṣum",sand
baṭālum (v.),to cease
batāqum (v.),to cut off
baṭlu,"ceased, disused"
baṭlum,"ceased, disused, cessation, interruption"
batqu,cut (off)
batultu,"adolescent, nubile girl"
batultum,"adolescent, nubile girl"
baṭûm,a vessel
bayyārum,huntsman
bayyātum,nocturnal offering ritual
Bazi,DN
bâʾum (v.),to go along
Bēl,DN
bēl dīnim,"opposing party (in court), “prosecutor”"
bēl ni-ki-[ri-im?É],?
bēl šipātim,lord of incantations
Bēl'ūrī,DN
Bēl-bullissu,PN
Bēl-ēriš,PN
Bēl-ēṭiru,FN
Bēl-ina-Esagil-lūmur,PN
Bēl-kuṣuršu,PN
Bēl-uballissu,PN
Bēl-x,PN
bēlet milkī,"wise lady, lady of counsels"
bēlet šipātim,lady of spells
